Ticker,Date,Revenue,OperatingProfit,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,OperatingCashFlow,CapEx,GrossMargin,OperatingMargin,NetMargin,ROE_TTM,ROA_TTM,CurrentRatio,DebtToEquity,MarketCap,RevenueGrowthQoQ,RevenueGrowthYoY,EPSGrowthYoY,NetIncomeGrowthYoY,StockReturnQoQ,LogAssets,FreeCashFlow
JNJ,2024-03-31,21383.0,6476.0,8291.0,3255.0,171966.0,70020.0,1.34,3657.0,597.0,69.58,30.29,15.22,24.23,9.28,1.17,48.03,381203.58,-0.05608787099790069,2.340384799463968,-805.263157894737,-762.9327902240326,1.030097118641815,12.055052061836822,3060.0
JNJ,2024-06-30,22447.0,7106.0,8888.0,4686.0,181088.0,71538.0,1.93,5633.0,613.0,69.41,31.66,20.88,22.34,8.79,1.07,58.0,351760.23,4.975915446850299,4.312468051489371,-5.85365853658536,-12.83482142857143,-7.723786329603732,12.10673837994225,5020.0
JNJ,2024-09-29,22471.0,5786.0,7632.0,2694.0,178287.0,70158.0,1.11,7993.0,979.0,69.04,25.75,11.99,20.89,8.58,1.03,50.96,388529.13,0.10691851917850048,5.245655941173721,-34.319526627218934,-37.479693664423294,10.452830327066831,12.091149890368655,7014.0
JNJ,2024-12-29,22520.0,4022.0,5918.0,3431.0,180104.0,71490.0,1.41,6983.0,1560.0,68.44,17.86,15.24,20.06,8.09,1.11,51.24,349225.71,0.21805883138266147,5.258237906052821,-17.05882352941177,-16.965150048402712,-10.115951923604793,12.10128974080081,5423.0
JNJ,2025-03-30,21893.0,6658.0,8430.0,10999.0,193671.0,78109.0,4.54,4174.0,516.0,66.43,30.41,50.24,29.45,11.93,1.26,66.9,394516.17,-2.7841918294849055,2.385072253659448,238.8059701492537,237.91090629800306,12.96882179722678,12.173916122130764,3658.0
JNJ,2025-06-29,23743.0,7018.0,8961.0,5537.0,193389.0,78473.0,2.29,3878.0,990.0,67.94,29.56,23.32,30.21,12.1,1.01,64.69,366709.63,8.450189558306299,5.7736000356395145,18.65284974093264,18.16047801963294,-7.048263699812352,12.17245898344479,2888.0
JNJ,2025-09-28,23993.0,7379.0,9156.0,5152.0,192816.0,79277.0,2.12,9169.0,1081.0,69.61,30.75,21.47,33.62,13.54,1.07,57.77,432802.58,1.0529419197237155,6.7731743135597045,90.990990990991,91.23979213066073,18.023238168029575,12.169491645267174,8088.0
JNJ,2025-12-28,24564.0,5834.0,7845.0,5116.0,199210.0,81544.0,2.09,7309.0,1525.0,67.79,23.75,20.83,35.03,14.13,1.03,58.78,500241.94,2.379860792731203,9.07637655417406,48.22695035460993,49.11104634217429,15.582014321633665,12.20211482367583,5784.0
JPM,2021-12-31,29257.0,12794.0,,10399.0,3743567.0,259289.0,3.33,144143.0,,,,35.54,18.29,1.36,,186.63,,,,,,,15.135549458182043,
JPM,2022-03-31,30717.0,10182.0,,8282.0,3954687.0,253061.0,2.63,57774.0,,,,26.96,16.13,1.11,,201.01,,4.990258741497766,,,,,15.190412015723432,
JPM,2022-06-30,30715.0,10938.0,,8649.0,3841314.0,253305.0,2.76,-27832.0,,,,28.16,14.68,1.04,,198.97,,-0.006511052511637416,,,,,15.161325053531119,
JPM,2022-09-30,32716.0,12048.0,,9737.0,3773884.0,255180.0,3.12,-68381.0,,,,29.76,13.8,0.98,,199.74,,6.514732215529873,,,,,15.143615267819282,
JPM,2022-12-31,34547.0,13264.0,,11008.0,3665743.0,264928.0,3.57,8663.0,,,,31.86,13.69,1.02,,185.58,,5.596649957207478,18.081142974330923,7.2072072072072,5.8563323396480405,,15.1145416012692,
JPM,2023-03-31,38010.0,15804.0,,12622.0,3744305.0,275678.0,4.1,-77558.0,,,,33.21,15.22,1.09,,192.73,,10.024025240976053,23.742552983689812,55.893536121673,52.40280125573533,,15.135746576936848,
JPM,2023-06-30,38595.0,15893.0,,14472.0,3868240.0,285112.0,4.75,-42600.0,,,,37.5,17.11,1.24,,214.83,,1.5390686661404862,25.655217320527424,72.10144927536233,67.32570239334028,,15.168310181200255,
JPM,2023-09-30,39774.0,17542.0,,13151.0,3898333.0,289967.0,4.33,29818.0,,,,33.06,18.16,1.34,,213.32,,3.0547998445394464,21.57354199779924,38.78205128205128,35.06213412755468,,15.176059583825676,
JPM,2023-12-31,38611.0,14655.0,,9307.0,3875393.0,300474.0,3.04,71118.0,,,,24.1,16.89,1.31,,199.18,,-2.9240207170513455,11.763684256230643,-14.845938375350132,-15.452398255813948,,15.170157634981829,
JPM,2024-03-31,41934.0,18176.0,,13419.0,4090727.0,306737.0,4.44,-129149.0,,,,32.0,16.66,1.29,,228.08,,8.606355701743018,10.323599052880827,8.292682926829297,6.314371731896684,,15.224233262834463,
JPM,2024-06-30,42091.0,16880.0,,18149.0,4143003.0,316652.0,6.12,6248.0,,,,43.12,17.35,1.35,,247.29,,0.37439786330901725,9.05816815649696,28.84210526315789,25.407683803206194,,15.236931445172239,
JPM,2024-09-30,42654.0,17379.0,,12898.0,4210048.0,324186.0,4.37,-44603.0,,,,30.24,16.96,1.33,,245.82,,1.337578104582926,7.240911147986129,0.9237875288683695,-1.9238080754315212,,15.252984607018746,
JPM,2024-12-31,42768.0,17773.0,,14005.0,4002814.0,324708.0,4.81,128791.0,,,,32.75,18.19,1.48,,217.88,,0.2672668448445714,10.766361917588263,58.22368421052631,50.478134737294496,,15.202508171744036,
JPM,2025-03-31,44722.0,18264.0,,14643.0,4357856.0,331375.0,5.07,-166810.0,,,,32.74,18.25,1.41,,286.05,,4.568836513280949,6.648542948442793,14.18918918918919,9.121395036888003,,15.287490751260652,
JPM,2025-06-30,44872.0,18362.0,,14987.0,4552482.0,336879.0,5.24,97980.0,,,,33.4,16.88,1.3,,302.71,,0.33540539331873287,6.6071131595828,-14.379084967320255,-17.42244751776958,,15.331183136704585,
JPM,2025-09-30,46427.0,18919.0,,14393.0,4560205.0,340167.0,5.07,-59122.0,,,,31.0,17.06,1.32,,295.42,,3.465412729541817,8.845594785952082,16.0183066361556,11.590944332454644,,15.332878136620423,
JPM,2025-12-31,45798.0,17546.0,,13025.0,4424900.0,342393.0,4.63,133338.0,,,,28.44,16.69,1.35,,260.01,,-1.354815086049066,7.084736251402912,-3.7422037422037313,-6.997500892538378,,15.302758237298752,
LMT,2021-12-31,17729.0,2455.0,2820.0,2049.0,50873.0,10959.0,7.48,4268.0,607.0,13.66,13.85,11.56,74.41,12.43,1.42,106.54,98017.26,,,,,,10.837087609932846,3661.0
LMT,2022-03-27,14964.0,1933.0,2262.0,1733.0,51510.0,10002.0,6.44,1410.0,268.0,12.76,12.92,11.58,76.14,12.07,1.27,116.43,120915.86,-15.595916295335321,,,,23.361803829243954,10.849531242559632,1142.0
LMT,2022-06-26,15446.0,1963.0,2306.0,309.0,51758.0,11432.0,1.16,1331.0,304.0,12.66,12.71,2.0,52.41,9.06,1.27,101.85,111509.47,3.221063886661324,,,,-7.7792855296236585,10.85433428855189,1027.0
LMT,2022-09-25,16583.0,2159.0,2452.0,1778.0,52030.0,11966.0,6.71,3133.0,405.0,12.78,13.02,10.72,54.35,11.3,1.28,95.94,109526.43,7.361129094911312,,,,-1.7783601697685447,10.85957575428435,2728.0
LMT,2022-12-31,18991.0,2393.0,2832.0,1912.0,52880.0,9266.0,7.42,1928.0,693.0,12.65,12.6,10.07,56.68,11.05,1.32,167.79,127496.36,14.520894892359637,7.118280782898068,-0.8021390374331583,-6.68618838457784,16.406934837554733,10.875780474525568,1235.0
LMT,2023-03-26,15126.0,2037.0,2362.0,1689.0,54622.0,9646.0,6.61,1564.0,294.0,13.53,13.47,11.17,57.9,10.72,1.3,161.73,120779.42,-20.351745563688063,1.0825982357658415,2.6397515527950333,-2.5389497980380815,-5.26833864119729,10.90819201098127,1270.0
LMT,2023-06-25,16693.0,2135.0,2469.0,1681.0,56978.0,9240.0,6.63,1100.0,329.0,12.52,12.79,10.07,68.3,12.99,1.36,189.88,116915.82,10.35964564326326,8.07328758254564,471.55172413793105,444.0129449838188,-3.1988893472083224,10.950420507400779,771.0
LMT,2023-09-24,16878.0,2042.0,2392.0,1684.0,56666.0,9274.0,6.73,2891.0,364.0,12.13,12.1,9.98,65.59,12.82,1.36,187.5,104170.08,1.10824896663273,1.7789302297533727,0.29806259314457684,-5.286839145106859,-10.901638460902896,10.944929662589201,2527.0
LMT,2023-12-31,18874.0,2345.0,2766.0,1866.0,52456.0,6835.0,7.6,2365.0,704.0,12.65,12.42,9.89,85.96,13.14,1.21,255.44,112448.26,11.8260457400166,-0.6160813016692135,2.425876010781658,-2.4058577405857706,7.946792399506641,10.867730001943455,1661.0
